task,protocol,method,delta_accuracy,delta_balanced_accuracy,delta_macro_f1,delta_auroc,delta_auprc,delta_auroc_ovr_weighted,delta_auroc_ovr_macro
grade4_status,strict_no_grade_no_clusters,baseline_plus_phase4_sheaf_energies,0.0023809523809523725,0.0028571428571427804,0.0025050218059510243,0.0011661807580174433,0.001059520749150944,,
grade4_status,strict_no_grade_no_clusters,baseline_plus_phase5_transport_features,0.0,0.0,0.0,0.002448979591836764,0.002120219544678892,,
grade4_status,strict_no_grade_no_clusters,baseline_plus_sheaf_and_transport,0.0023809523809523725,0.0028571428571427804,0.0025050218059510243,0.0016559766763848405,0.0016821309005374818,,
grade4_status,strict_no_grade_no_clusters,transport_features_only,-0.23809523809523814,-0.2383673469387756,-0.24182553787962824,-0.1669271137026238,-0.12536513670458493,,
grade_label,strict_no_idh_no_grade_no_clusters,baseline_plus_phase4_sheaf_energies,0.0023809523809523725,-0.0016079158936301852,-0.00010506147899291829,,,0.0016045548654244346,0.0009935199376193138
grade_label,strict_no_idh_no_grade_no_clusters,baseline_plus_phase5_transport_features,0.011904761904761862,0.00921459492888066,0.012553413470375308,,,0.0027684660377016446,0.003153142712275736
grade_label,strict_no_idh_no_grade_no_clusters,baseline_plus_sheaf_and_transport,0.011904761904761862,-0.0008039579468150926,0.005287942206000484,,,0.004566261642190206,0.004117133890742752
grade_label,strict_no_idh_no_grade_no_clusters,transport_features_only,-0.1523809523809524,-0.1341991341991342,-0.13707532533602496,,,-0.11006687430961726,-0.10752958006627678
idh_codel_subtype,strict_no_idh_no_grade_no_clusters,baseline_plus_phase4_sheaf_energies,-0.01449275362318847,-0.02340821340821342,-0.024008081465125564,,,-0.0027412025597527423,-0.0036372029970095365
idh_codel_subtype,strict_no_idh_no_grade_no_clusters,baseline_plus_phase5_transport_features,-0.004830917874396157,-0.012121212121212088,-0.00907878882707247,,,-0.001690983553587544,-0.0012436099079562446
idh_codel_subtype,strict_no_idh_no_grade_no_clusters,baseline_plus_sheaf_and_transport,-0.004830917874396157,-0.012121212121212088,-0.009462029409119221,,,-0.004233626398192358,-0.004793252616223986
idh_codel_subtype,strict_no_idh_no_grade_no_clusters,transport_features_only,-0.25120772946859904,-0.2791096291096291,-0.2887985248162189,,,-0.17696827257934722,-0.20366064255998628
