task,protocol,metric,baseline,baseline_plus_phase6_SDI,baseline_plus_phase6_candidates,phase6_SDI_only,delta_baseline_plus_phase6_candidates_vs_baseline,delta_baseline_plus_phase6_SDI_vs_baseline,delta_phase6_SDI_only_vs_baseline
grade4_status,strict_no_grade_no_clusters,accuracy,0.9428571428571428,0.9404761904761905,0.95,0.7714285714285715,0.0071428571428571175,-0.0023809523809523725,-0.17142857142857137
grade4_status,strict_no_grade_no_clusters,auprc,0.9869905449709765,0.9866024730955131,0.9858613459140221,0.8639649538649281,-0.0011291990569544108,-0.0003880718754634138,-0.12302559110604838
grade4_status,strict_no_grade_no_clusters,auroc,0.9803848396501458,0.9794985422740524,0.9762332361516034,0.8447346938775511,-0.004151603498542378,-0.000886297376093359,-0.1356501457725947
grade4_status,strict_no_grade_no_clusters,balanced_accuracy,0.9412244897959183,0.9391836734693877,0.9489795918367347,0.7657142857142858,0.0077551020408164195,-0.0020408163265306367,-0.17551020408163254
grade4_status,strict_no_grade_no_clusters,macro_f1,0.9412244897959183,0.9388250921993253,0.9486130774474333,0.7652757078986587,0.007388587651514955,-0.0023993975965930225,-0.1759487818972596
grade_label,strict_no_idh_no_grade_no_clusters,accuracy,0.7928571428571428,0.7857142857142857,0.8166666666666667,0.6261904761904762,0.023809523809523836,-0.0071428571428571175,-0.16666666666666663
grade_label,strict_no_idh_no_grade_no_clusters,balanced_accuracy,0.7252319109461967,0.7142857142857143,0.7512677798392083,0.5324056895485466,0.026035868893011682,-0.010946196660482355,-0.19282622139765004
grade_label,strict_no_idh_no_grade_no_clusters,macro_f1,0.710604532795544,0.7024034154704193,0.7416666666666667,0.5282988635189367,0.031062133871122666,-0.00820111732512474,-0.1823056692766073
grade_label,strict_no_idh_no_grade_no_clusters,weighted_auroc,0.9400703511218151,0.941091882005686,0.9471511266440915,0.8309444313661579,0.007080775522276372,0.0010215308838709136,-0.10912591975565722
idh_codel_subtype,strict_no_idh_no_grade_no_clusters,accuracy,0.9009661835748792,0.9009661835748792,0.9009661835748792,0.6400966183574879,0.0,0.0,-0.26086956521739135
idh_codel_subtype,strict_no_idh_no_grade_no_clusters,balanced_accuracy,0.8926699426699427,0.8926699426699427,0.8735755235755236,0.5961343161343161,-0.019094419094419113,0.0,-0.2965356265356266
idh_codel_subtype,strict_no_idh_no_grade_no_clusters,macro_f1,0.8748935366114581,0.8748935366114581,0.8709164004231189,0.5707328337216869,-0.00397713618833917,0.0,-0.30416070288977115
idh_codel_subtype,strict_no_idh_no_grade_no_clusters,weighted_auroc,0.9805264248735664,0.9800210992896287,0.9706564910416688,0.7911652817750462,-0.009869933831897604,-0.0005053255839377879,-0.18936114309852026
