label_col,protocol,group,n,mean_SRIS4,mean_E_D_to_R,mean_E_D_to_C,mean_E_R_to_C,dominant_edge
idh_codel_subtype,full_geometry,IDHmut-codel,55,1.3202503393751237,0.3533045396708026,0.5080956780003062,0.45885012170401523,D_to_C
idh_codel_subtype,full_geometry,IDHmut-non-codel,100,1.7239914217222676,0.3705101781186756,0.684558019289893,0.6689232243136989,D_to_C
idh_codel_subtype,full_geometry,IDHwt,259,2.097585494797703,0.6511326799660256,0.7271028167934342,0.7193499980382427,D_to_C
idh_codel_subtype,strict_no_idh_no_clusters,IDHmut-codel,55,1.4663474753041843,0.420841170574133,0.5117002690395988,0.5338060356904525,R_to_C
idh_codel_subtype,strict_no_idh_no_clusters,IDHmut-non-codel,100,1.8618483861909019,0.46176368080178326,0.6879199275212257,0.7121647778678928,R_to_C
idh_codel_subtype,strict_no_idh_no_clusters,IDHwt,259,2.33045841617285,0.7308230056802799,0.8079288290235962,0.7917065814689738,D_to_C
grade_label,strict_no_grade_no_clusters,G2,77,1.6388125898325414,0.47929787804395246,0.5739768262073953,0.5855378855811939,R_to_C
grade_label,strict_no_grade_no_clusters,G3,98,2.406007561919265,0.8048876960615399,0.803246980381837,0.7978728854758885,D_to_R
grade_label,strict_no_grade_no_clusters,G4,245,2.4446955287633028,0.5835000216378388,0.9397700300490022,0.9214254770764613,D_to_C
grade4_status,strict_no_grade_no_clusters,G2G3,175,2.1824833371438648,0.684842352746898,0.7366933321553432,0.7609476522416235,R_to_C
grade4_status,strict_no_grade_no_clusters,G4,245,2.4446955287633028,0.5835000216378388,0.9397700300490022,0.9214254770764613,D_to_C
