pathway,n_total_members,n_observed_members,members_observed,members_unobserved
IDH_2HG_metabolism,2,2,IDH1;IDH2,
G_CIMP_hypermethylation,1,1,IDH_2HG_metabolism,
DNA_damage_repair,2,1,IDH_2HG_metabolism,MGMT_mRNA
RTK_RAS_PI3K_pathway,4,1,EGFRvIII_variant,EGFR_mRNA;PDGFRA_mRNA;MET_mRNA
PI3K_AKT_mTOR_pathway,3,3,PTEN;PIK3CA;PIK3R1,
MAPK_pathway,3,3,NF1;BRAF;KRAS,
Apoptosis_pathway,2,0,,PI3K_AKT_mTOR_pathway;p53_pathway
p53_pathway,5,2,TP53;PPM1D,MDM2_mRNA;MDM4_mRNA;CDKN2A_p14ARF
RB1_pathway,5,2,CDKN2B;RB1,CDKN2A_p16INK4A;CDK4_mRNA;CDK6_mRNA
Telomere_maintenance_pathway,1,0,,TERT_mRNA
ALT_telomere_maintenance,2,2,ATRX;DAXX,
NOTCH_signaling_pathway,1,1,NOTCH1,
Chromatin_remodeling_pathway,3,3,SETD2;H3F3A_K27M;H3F3A_G34,
Polycomb_repressive_complex,2,1,SUZ12,EZH2
Angiogenesis_pathway,2,0,,HIF1A;VEGFA_mRNA
Mesenchymal_transcription_program,4,0,,STAT3;CEBPB;NFKB;RTK_RAS_PI3K_pathway
Stemness_pathway,2,0,,SOX2;NOTCH_signaling_pathway
Proneural_transcription_program,2,0,,OLIG2;ASCL1
Hippo_signaling_target_genes,1,0,,YAP1
Transcriptome_subtype,6,5,G_CIMP_hypermethylation;CIC;FUBP1;Proneural_transcription_program;Mesenchymal_transcription_program,Chromatin_remodeling_pathway
IDH_specific_DNA_methylation_cluster,1,1,G_CIMP_hypermethylation,
Pan_Glioma_DNA_methylation_cluster,1,1,G_CIMP_hypermethylation,
Proliferation_phenotype,4,0,,RTK_RAS_PI3K_pathway;PI3K_AKT_mTOR_pathway;MAPK_pathway;Hippo_signaling_target_genes
Cell_cycle_phenotype,3,1,Telomere_maintenance_pathway,RB1_pathway;Apoptosis_pathway
Genomic_instability_phenotype,2,1,ALT_telomere_maintenance,p53_pathway
ESTIMATE_immune_score,1,1,Mesenchymal_transcription_program,
ESTIMATE_stromal_score,2,1,Mesenchymal_transcription_program,Angiogenesis_pathway
Neoplasm_histologic_grade,2,2,Genomic_instability_phenotype;Proliferation_phenotype,
