pathway,mean_plis,std_plis,kw_subtype_p,kw_grade_p,n_observed,log10_subtype_p,log10_grade_p,combined_signal
IDH_2HG_metabolism,0.16785714285714284,0.23640137901747485,1.4935290232834144e-78,1.393421718188809e-58,420,77.82578633346871,57.85591742473582,135.68170375820455
ALT_telomere_maintenance,0.09166666666666666,0.1937005127089426,1.4612841801812776e-52,2.6352905844832698e-23,420,51.835265317342156,22.579171489643247,74.4144368069854
Transcriptome_subtype,0.6180952380952381,0.4779193074321344,6.656663854794109e-51,8.067585939908813e-25,420,50.176743373301285,24.093256399580163,74.26999977288145
RB1_pathway,0.1976190476190476,0.244742419989443,3.645120656951398e-30,9.636021420136779e-20,420,29.43828809154877,19.016102243269287,48.45439033481806
p53_pathway,0.14047619047619048,0.22500015784616453,6.562917543898164e-36,5.276161822357843e-10,420,35.182903052158586,9.277681892905939,44.460584945064525
PI3K_AKT_mTOR_pathway,0.19365079365079368,0.3030157004681594,1.047064803832402e-09,8.054934786593451e-06,420,8.98002643859253,5.093937971313944,14.073964409906473
Neoplasm_histologic_grade,0.1869047619047619,0.2421954879690053,0.7160854853385208,4.45403846596892e-08,420,0.14503512909619484,7.351246036631593,7.496281165727788
MAPK_pathway,0.05873015873015873,0.18918092006055343,0.04936856057737323,0.09556750202753457,420,1.3065495351749847,1.0196897655642865,2.326239300739271
Chromatin_remodeling_pathway,0.0126984126984127,0.09123693469521656,0.21532362257137563,0.12084741294165802,420,0.666908322291588,0.9177626423782872,1.5846709646698751
